Welcome;Welcome to our prototype!;Velkommen til vores prototype!;
Supported_languages;Supported languages: ;Tilgængelige sprog: ;
Select_language;Please select a language> ;Vælg et sprog> ;
Select_date;Please enter the current date (DD/MM format)> ;Indtast den nuværende dato (DD/MM format)> ;
Select_hour;Please enter the current hour (HH format)> ;Indtast den nuværende time (TT format)> ;
Graph_energy;ENERGY PRICES ; ENERGIPRISER ;
Graph_carbon;CARBON EMISSION ; CO2 UDSLIP ;
Table_energy_good;The cheapest prices of the day;Dagens billigste tidspunkter;
Table_energy_bad;...and the most expensive;...og dagens dyreste tidspunkter;
Table_carbon_good;The most environmental hours;Dagens mest miljøvenlige tider;
Table_carbon_bad;...and the least eco friendly;...og dagens mindst miljørigtige tider;
Tomorrow;Would you like to see the data for tomorrow? Enter Y or N> ;Vil du se datasættet for i morgen også? Tast Y for ja og N for nej> ;
Continue;Would you like to check another day? Enter Y or N> ;Vil du teste endnu en dag? Tast Y for ja og N for nej> ;
Goodbye;Thank you for trying out our prototype!;Tak fordi du tog dig tid til at teste vores prototype!;
